Family	Success	Comments	Tree
Benue-Congo	SUCCESS	GA: converged after 10000 iterations out of 10000 with residual SSE error 0.000609711048227217	((('Kutep [i-kub][w-][a-3050][g-kute1248]':0.144)'Jukunoid [i-][w-][a-][g-]':0.144,('Yala [i-yba][w-][a-2901][g-yala1263]':0.199,'Igede [i-ige][w-ige][a-1640][g-iged1239]':0.202,'Idoma [i-idu][w-ido][a-1636][g-idom1241]':0.202)'Idomoid [i-][w-][a-][g-]':0.0851,('Nupe [i-nup][w-nup][a-2218][g-nupe1254]':0.194,'Ebira [i-igb][w-ebi][a-1639][g-ebir1243]':0.196,'Gade [i-ged][w-gad][a-1533][g-gade1242]':0.196,'Gwari [i-gby][w-][a-1526][g-gbar1246]':0.194)'Nupoid [i-][w-][a-][g-]':0.0941,('Tarok [i-yer][w-tok][a-2768][g-taro1263]':0.178,'Fyem [i-pym][w-fye][a-2348][g-fyam1238]':0.179,'Mada {Nigeria} [i-mda][w-mdz][a-1955][g-mada1282]':0.18,'Kpan [i-kpk][w-kpa][a-1803][g-kpan1246]':0.181,'Kagoma [i-kdm][w-kgm][a-1724][g-kago1247]':0.176,'Gworok [i-kcg][w-gwo][a-1713][g-tyap1238]':0.179,'Jukun [i-jbu][w-juk][a-1676][g-juku1254]':0.18,'Birom [i-bom][w-bir][a-1050][g-bero1242]':0.177)'Platoid [i-][w-][a-][g-]':0.108,('Duka [i-dud][w-duk][a-1437][g-huns1239]':0.144,'Amo [i-amo][w-amo][a-888][g-amoo1242]':0.147)'Kainji [i-][w-][a-][g-]':0.147,('Urhobo [i-urh][w-urh][a-2673][g-urho1239]':0.21,'Isoko [i-iso][w-iso][a-1657][g-isok1239]':0.205,'Etsako [i-ets][w-ets][a-1483][g-yekh1238]':0.205,'Engenni [i-enn][w-egn][a-1473][g-enge1239]':0.208,'Ora {Nigeria} [i-ema][w-ora][a-1468][g-emai1241]':0.205,'Bini [i-bin][w-bni][a-1463][g-bini1246]':0.204,'Degema [i-deg][w-deg][a-1272][g-dege1246]':0.204,'Ghotuo [i-aaa][w-gho][a-818][g-ghot1243]':0.204)'Edoid [i-][w-][a-][g-]':0.0804,('Legbo [i-agb][w-agb][a-3133][g-legb1242]':0.188,'Ogbronuagum [i-ogu][w-obg][a-2243][g-ogbr1243]':0.183,'Ogbia [i-ogb][w-ogb][a-2242][g-ogbi1239]':0.184,'Kana [i-ogo][w-kan][a-1728][g-khan1278]':0.184,'Ibibio [i-ibb][w-ibi][a-1632][g-ibib1240]':0.187,'Gokana [i-gkn][w-gok][a-1546][g-goka1239]':0.189,'Kohumono [i-bcs][w-koh][a-980][g-kohu1244]':0.191,'Obolo [i-ann][w-obo][a-897][g-obol1243]':0.187,'Efik [i-efi][w-efi][a-604][g-efik1245]':0.187)'Cross River [i-][w-][a-][g-]':0.0997,('Izi [i-izi][w-izi][a-1667][g-izie1238]':0.17,'Igbo [i-ibo][w-igb][a-531][g-nucl1417]':0.167)'Igboid [i-][w-][a-][g-]':0.122,('Isekiri [i-its][w-ise][a-1658][g-isek1239]':0.124,'Yoruba [i-yor][w-yor][a-421][g-yoru1245]':0.125)'Yoruboid [i-][w-][a-][g-]':0.162,('Yamba [i-yam][w-yba][a-2763][g-yamb1251]':0.0924,'Tiv [i-tiv][w-tiv][a-2574][g-tivv1240]':0.0985,'Tikar [i-tik][w-tik][a-2570][g-tika1246]':0.104,'Akwa [i-akw][w-][a-2321][g-akwa1248]':0.0976,'Noni [i-nhu][w-non][a-2168][g-noon1243]':0.101,'Mambila [i-mzk][w-][a-2114][g-nige1255]':0.0984,'Kenyang [i-ken][w-kyg][a-1731][g-keny1279]':0.0964,'Jarawa {Nigeria} [i-jar][w-jar][a-1673][g-jara1263]':0.093,'Nkem [i-isi][w-nke][a-1655][g-nkem1242]':0.0956,'Ejagham [i-etu][w-eja][a-1484][g-ejag1239]':0.0974,'Yemba [i-ybb][w-yem][a-961][g-yemb1246]':0.0935,('Ngiemboon [i-nnh][w-][a-3017][g-ngie1241]':0.176,'Kuo [i-oku][w-oku][a-2247][g-okuu1243]':0.161,'Lamnso` [i-lns][w-lns][a-2208][g-lamn1239]':0.174,'Ngemba [i-nge][w-mkq-nge][a-2159][g-ngem1255]':0.168,'Mundani [i-mnf][w-mud][a-2097][g-mund1327]':0.175,'Mungaka [i-mhk][w-mgk][a-1990][g-mung1266]':0.177,'Fe`fe` [i-fmp][w-fef][a-1491][g-fefe1239]':0.172,'Kom [i-bkm][w-kou][a-1033][g-komc1235]':0.165,'Bafut [i-bfd][w-baf][a-1001][g-bafu1246]':0.172,'Bamun [i-bax][w-bmn][a-965][g-bamu1253]':0.171,'Mbili [i-baw][w-mbi][a-964][g-bamb1266]':0.176,'Aghem [i-agq][w-agh][a-852][g-aghe1239]':0.175)'Grassfields Bantu [i-][w-][a-][g-]':0.0349,('Vili [i-vif][w-vif][a-3181][g-vili1238]':0.0869,'Suku [i-sub][w-sku][a-3174][g-suku1259]':0.0835,'Mbosi [i-mdw][w-mdw][a-3159][g-mbos1242]':0.0824,'Iwoyo [i-kwy][w-kwy][a-3154][g-sans1272]':0.0903,'Budu [i-buu][w-bdu][a-3139][g-budu1250]':0.0848,'Eton [i-eto][w-][a-2954][g-eton1253]':0.0854,'Tharaka [i-thk][w-][a-2902][g-thar1283]':0.0864,'Mituku [i-zmq][w-mit][a-2811][g-mitu1240]':0.078,'Yansi [i-yns][w-yns][a-2783][g-yans1239]':0.0853,'Yeyi [i-yey][w-yey][a-2769][g-yeyi1239]':0.0902,'Gunu [i-yas][w-gun][a-2765][g-nugu1242]':0.0869,'Yao {in Malawi} [i-yao][w-yao][a-2764][g-yaoo1241]':0.0877,'Yaka [i-yaf][w-yak][a-2759][g-yaka1269]':0.0864,'Xhosa [i-xho][w-xho][a-2754][g-xhos1239]':0.0824,'Makua [i-vmw][w-][a-2695][g-makh1264]':0.0918,'Venda [i-ven][w-ven][a-2688][g-vend1245]':0.0817,'Tswana [i-tsn][w-tsw][a-2624][g-tswa1253]':0.0882,'Tsogo [i-tsv][w-tgo][a-2623][g-tsog1243]':0.0863,'Tsonga [i-tso][w-tsn][a-2619][g-tson1249]':0.0797,'Tonga {Zambia} [i-toi][w-toz][a-2597][g-tong1318]':0.0934,'Talinga [i-tlj][w-tal][a-2582][g-tali1258]':0.0835,'Tetela [i-tll][w-tet][a-2547][g-tete1250]':0.0826,'Tabwa [i-tap][w-tbw][a-2518][g-taab1238]':0.0873,'Sengele [i-szg][w-sgl][a-2507][g-seng1278]':0.0905,'Swati [i-ssw][w-swt][a-2505][g-swat1243]':0.0876,'Comorian [i-swb][w-com][a-2501][g-maor1244]':0.0843,'Sukuma [i-suk][w-skm][a-2492][g-suku1261]':0.083,'Sesotho [i-sot][w-ses][a-2484][g-sout2807]':0.0836,'Sotho {Northern} [i-nso][w-stn][a-2478][g-pedi1238]':0.0874,'Songe [i-sop][w-sge][a-2463][g-song1303]':0.0841,'Sangu [i-snq][w-sgu][a-2460][g-sang1333]':0.0787,'Shona [i-sna][w-krg-shn][a-2420][g-shon1251]':0.0814,'Sena [i-seh][w-sen][a-2411][g-nucl1396]':0.0879,'Subiya [i-sbs][w-sub][a-2398][g-subi1246]':0.0879,'Kinyarwanda [i-kin][w-kin][a-2386][g-kiny1244]':0.0837,'Ronga [i-rng][w-rga][a-2377][g-rong1268]':0.0829,'Rimi [i-rim][w-rim][a-2370][g-nyat1246]':0.084,'Pogoro [i-poy][w-pog][a-2327][g-pogo1243]':0.0791,'Pangwa [i-pbr][w-png][a-2276][g-pang1287]':0.0849,'Nyamwezi [i-nym][w-nym][a-2234][g-nyam1276]':0.0867,'Runyoro-Rutooro [i-nyo][w-rru][a-2231][g-nyor1246]':0.0838,'Runyankore [i-nyn][w-rny][a-2229][g-nyan1307]':0.0816,'Nyambo [i-now][w-nbo][a-2228][g-nyam1277]':0.0862,'Chichewa [i-nyj][w-nng][a-2227][g-nyan1304]':0.0813,'Nyanga [i-nya][w-cic][a-2226][g-nyan1308]':0.0878,'Ntomba [i-nto][w-nto][a-2213][g-ntom1248]':0.0897,'Nsenga [i-nse][w-nse][a-2203][g-nsen1242]':0.0858,'Bujeba [i-nmg][w-buj][a-2187][g-kwas1243]':0.0844,'Ndumu [i-nmd][w-ndu][a-2185][g-ndum1239]':0.087,'Nyiha [i-nih][w-nyh][a-2171][g-nyih1240]':0.0814,'Ngoni [i-ngo][w-ngo][a-2163][g-ngon1269]':0.0869,'Londo [i-bdu][w-bkn-ldo][a-2162][g-orok1266]':0.094,'Ngombe [i-ngc][w-dok-nbe][a-2158][g-ngom1268]':0.0904,'Ndebele {South Africa} [i-nbl][w-ndb][a-2154][g-sout2808]':0.0782,'Ndonga [i-ndo][w-ndo][a-2147][g-ndon1254]':0.0787,'Mpongwe [i-mye][w-mpo][a-2116][g-myen1241]':0.0791,'Mwera [i-mwe][w-mwe][a-2105][g-mwer1248]':0.0865,'Mbe` [i-mtk][w-mbz][a-2090][g-mbee1250]':0.0804,'Mongo [i-lol][w-mgo][a-2056][g-mong1338]':0.0845,'Umbundu [i-umb][w-umb][a-2042][g-umbu1257]':0.0852,'Matuumbi [i-mgw][w-mtb][a-1985][g-matu1259]':0.0765,'Mambwe [i-mgr][w-mmw][a-1983][g-mamb1296]':0.0824,'Mbere [i-mdt][w-mbe][a-1963][g-mber1257]':0.0796,'Mbole [i-mdq][w-mbl][a-1962][g-mbol1247]':0.0786,'Makaa [i-mcp][w-mkz][a-1953][g-maka1304]':0.0911,'Lunda [i-lun][w-lbu][a-1923][g-lund1266]':0.0878,'Luyia [i-luy][w-][a-1922][g-luyi1234]':0.0851,'Kiluba [i-lub][w-kil][a-1917][g-luba1250]':0.0818,'CiLuba [i-lua][w-blu-cil][a-1916][g-luba1249]':0.0855,'Lozi [i-loz][w-loz][a-1912][g-lozi1239]':0.0828,'Mbalanhu [i-lnb][w-mhu][a-1903][g-mbal1255]':0.0843,'Lingala [i-lin][w-lin][a-1888][g-ling1263]':0.0831,'Lega [i-lea][w-leg][a-1875][g-lega1249]':0.0784,'Lucazi [i-lch][w-luc][a-1873][g-luch1239]':0.0889,'Langi [i-lag][w-lgi][a-1864][g-lang1320]':0.0807,'Lamba [i-lam][w-lmb][a-1860][g-lamb1271]':0.0846,'Kwangali [i-kwn][w-kwn][a-1849][g-kwan1273]':0.0865,'Bafia [i-ksf][w-bfi][a-1818][g-bafi1243]':0.0835,'Shambala [i-ksb][w-shm][a-1817][g-sham1280]':0.0787,'Kanyok [i-kny][w-kyo][a-1790][g-kany1247]':0.0855,'Nande [i-nnb][w-nde][a-1776][g-nand1264]':0.0845,'Teke {Southern} [i-kkw][w-tks][a-1771][g-teke1280]':0.087,'Kaguru [i-kki][w-kgr][a-1768][g-kagu1239]':0.0821,'Kinga [i-zga][w-kga][a-1759][g-nucl1379]':0.0887,'Kamba [i-kam][w-kba][a-1756][g-kamb1297]':0.0862,'Makonde [i-kde][w-mkd][a-1721][g-mako1251]':0.0742,'Kete [i-kcv][w-kte][a-1720][g-kete1252]':0.0821,'Kami [i-kcu][w-kmi][a-1719][g-kami1256]':0.0853,'Kalanga [i-kck][w-klz][a-1714][g-kala1384]':0.085,'Chaga [i-chag][w-][a-1696][g-chag1250]':0.0857,'Ila [i-ilb][w-ila][a-1643][g-ilaa1246]':0.0866,'Ifumu [i-ifm][w-ifm][a-1638][g-teke1274]':0.0874,'Holoholo [i-hoo][w-hol][a-1616][g-holo1240]':0.0861,'Hunde [i-hke][w-hnd][a-1608][g-hund1239]':0.0848,'Herero [i-her][w-her][a-1604][g-here1253]':0.0814,'Hemba [i-hem][w-hem][a-1603][g-hemb1242]':0.0886,'Hehe [i-heh][w-heh][a-1601][g-hehe1240]':0.0776,'Haya [i-hay][w-hya][a-1599][g-haya1250]':0.0868,'Gusii [i-guz][w-gus][a-1575][g-gusi1247]':0.0891,'Enya [i-gey][w-eny][a-1534][g-enya1247]':0.0823,'Ewondo [i-ewo][w-ewo][a-1485][g-ewon1239]':0.084,'Ekoti [i-eko][w-eko][a-1465][g-koti1238]':0.0861,'Zulu {Southern} [i-zul][w-zno-zso-zul][a-1462][g-zulu1248]':0.0838,'Zulu {Northern} [i-zul][w-zno-zso-zul][a-1461][g-zulu1248]':0.0855,'Karanga [i-kth][w-][a-1402][g-kara1484]':0.0825,'Duala [i-dua][w-dua][a-1381][g-dual1243]':0.0872,'Doko [i-ngc][w-dok-nbe][a-1366][g-ngom1268]':0.0856,'Duma [i-dma][w-dma][a-1353][g-duma1253]':0.0831,'Bena-Lulua [i-lua][w-blu-cil][a-1352][g-luba1249]':0.0812,'Fiote [i-kon][w-][a-1349][g-vili1238]':0.0819,'Ding [i-diz][w-dng][a-1330][g-ding1239]':0.0835,'Dabida [i-dav][w-dbd][a-1226][g-tait1250]':0.086,'Babole [i-bvx][w-bbl][a-1090][g-dibo1245]':0.0852,'Bubi [i-bvb][w-bub][a-1086][g-bube1242]':0.0845,'Bulu [i-bum][w-buw][a-1083][g-bulu1251]':0.0878,'Bukusu [i-bxk][w-buk][a-1082][g-buku1249]':0.084,'Bushoong [i-buf][w-bsh][a-1080][g-bush1247]':0.0854,'Bakueri [i-bri][w-bku][a-1064][g-mokp1239]':0.0825,'Bobangi [i-bni][w-bob][a-1045][g-bang1354]':0.085,'Bemba [i-bem][w-][a-1042][g-bemb1257]':0.0843,'Bolia [i-bli][w-bol][a-1037][g-boli1255]':0.079,'Bira [i-brf][w-][a-1021][g-bera1259]':0.0875,'Benga [i-bng][w-bga][a-996][g-beng1282]':0.0876,'Beembe [i-beq][w-bee][a-994][g-beem1239]':0.0888,'Bakundu [i-bdu][w-bkn-ldo][a-992][g-orok1266]':0.0843,'Tunen [i-tvu][w-][a-966][g-tune1261]':0.0792,'Tuki [i-bag][w-tki][a-959][g-tuki1240]':0.0919,'Basaa [i-bas][w-bas][a-957][g-basa1284]':0.0839,'Aka [i-axk][w-aka][a-949][g-yaka1272]':0.0808,'Pare [i-asa][w-pre][a-929][g-asut1235]':0.0795,'Lebeo [i-agh][w-leb][a-850][g-ngel1238]':0.0863,'Bankon [i-abb][w-bnk][a-821][g-bank1256]':0.0833,'Rundi [i-run][w-rnd][a-741][g-rund1242]':0.083,'Kikuyu [i-kik][w-kik][a-740][g-kiku1240]':0.0851,'Zulu [i-zul][w-zno-zso-zul][a-581][g-zulu1248]':0.0765,'Nkore-Kiga [i-cgg][w-nko][a-562][g-chig1238]':0.0866,'Luvale [i-lue][w-luv][a-553][g-luva1239]':0.0795,'Kongo [i-kon][w-][a-544][g-kong1295]':0.0831,'Babungo [i-bav][w-bab][a-488][g-veng1238]':0.086,'Swahili [i-swa][w-][a-361][g-swah1253]':0.0878,'Luganda [i-lug][w-lda][a-165][g-gand1255]':0.0871)'Bantu {narrow} [i-][w-][a-][g-]':0.0645)'Bantoid [i-][w-][a-][g-]':0.115)'Benue-Congo [i-][w-][a-][g-]':1);
Saharan	SUCCESS	GA: converged after 193 iterations out of 10000 with residual SSE error 7.5166365233326e-11	(('Beria [i-zag][w-zag][a-3192][g-zagh1240]':0.164,'Kanembu [i-kbl][w-kbu][a-1707][g-kane1243]':0.164,'Tubu [i-tuq][w-][a-1217][g-teda1241]':0.164,'Kanuri [i-kau][w-][a-123][g-kanu1279]':0.164)'Saharan [i-][w-][a-][g-]':1);
Fur	FAIL	GA: too few languages	
Kuliak	SUCCESS	GA: converged after 142 iterations out of 10000 with residual SSE error 1.92609348195457e-10	(('So [i-teu][w-so][a-2552][g-sooo1256]':0.164,'Nyangi [i-nyp][w-nyg][a-2230][g-nyan1313]':0.164,'Ik [i-ikx][w-ik][a-111][g-ikkk1242]':0.164)'Kuliak [i-][w-][a-][g-]':1);
Nera	FAIL	GA: too few languages	
Nubian	SUCCESS	GA: converged after 371 iterations out of 10000 with residual SSE error 2.03063537954894e-09	(('Kadaru [i-kdu][w-][a-3021][g-kada1282]':0.164,'Gulfan [i-ghl][w-nbh][a-3020][g-ghul1238]':0.164,'Midob [i-mei][w-mid][a-1966][g-mido1240]':0.164,'Nubian {Hill} [i-kzh][w-nbd-nku][a-1538][g-kenu1236]':0.164,'Nobiin [i-fia][w-nob][a-1489][g-nobi1240]':0.164,'Nubian {Kunuz} [i-xnz][w-][a-1348][g-kenu1243]':0.164,'Nubian [i-dgl][w-][a-69][g-nubi1251]':0.164)'Nubian [i-][w-][a-][g-]':1);
Nilotic	SUCCESS	GA: converged after 3066 iterations out of 10000 with residual SSE error 0.000973300320244027	((('Markweeta [i-enb][w-][a-3004][g-mark1255]':0.0853,'Datooga [i-tcc][w-dat][a-2532][g-dato1239]':0.0907,('Teso [i-teo][w-tes][a-2548][g-teso1249]':0.122,'Pokot [i-pko][w-pkt][a-2304][g-poko1263]':0.118,'Sebei [i-kpz][w-seb][a-1809][g-kups1238]':0.125)'Kalenjin [i-][w-][a-][g-]':0.0933,'Nandi [i-niq][w-][a-299][g-nand1266]':0.0737)'Southern Nilotic [i-][w-][a-][g-]':0.128,(('Turkana [i-tuv][w-tna][a-2641][g-turk1308]':0.0938,'Karimojong [i-kdj][w-kmj][a-1723][g-kara1483]':0.0847)'Teso-Turkana [i-][w-][a-][g-]':0.126,('Kuku [i-bfa][w-bar-kuk][a-1233][g-bari1284]':0.14,'Bari [i-bfa][w-bar-kuk][a-1000][g-bari1284]':0.14)'Bari [i-][w-][a-][g-]':0.0718,('Maa [i-mas][w-maa][a-167][g-masa1300]':0.108)'Lotuko-Maa [i-][w-][a-][g-]':0.108)'Eastern Nilotic [i-][w-][a-][g-]':0.145,(('Nuer [i-nus][w-nue][a-2219][g-nuer1246]':0.133,'Dinka [i-din][w-][a-1326][g-dink1262]':0.14)'Dinka-Nuer [i-][w-][a-][g-]':0.0663,(('Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.0828,'Jur Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0.0825,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.0732,'Anywa [i-anu][w-any][a-900][g-anua1242]':0.0822)'Northern Lwo [i-][w-][a-][g-]':0.0619,('Luo [i-luo][w-luo][a-1919][g-luok1236]':0.0892,'Acholi [i-ach][w-acl][a-603][g-acol1236]':0.0914,'Lango [i-laj][w-lan][a-159][g-lang1324]':0.0868)'Southern Lwo [i-][w-][a-][g-]':0.0513)'Lwo [i-][w-][a-][g-]':0.0667)'Western Nilotic [i-][w-][a-][g-]':0.142)'Nilotic [i-][w-][a-][g-]':1);
Gumuz	FAIL	GA: too few languages	
Berber	SUCCESS	GA: converged after 1764 iterations out of 10000 with residual SSE error 4.22113914387218e-06	(('Zenaga [i-zen][w-zen][a-2806][g-zena1248]':0.153,(((('Tamashek {Burkin Faso} [i-taq][w-tsk][a-3042][g-tama1365]':0.0365,'Tamashek {Mali} [i-taq][w-tsk][a-3040][g-tama1365]':0.0373,'Ghomara [i-gho][w-][a-3039][g-ghom1257]':0.0382,'Shilha [i-shi][w-tas][a-2969][g-tach1250]':0.0373,'Berber {Kabyle} [i-kab][w-kbl][a-2882][g-kaby1243]':0.0379,'Tuareg {Ahaggar} [i-thv][w-tai-tgh-tug][a-2566][g-taha1241]':0.0391,'Berber {Siwa} [i-siz][w-bsi][a-2432][g-siwi1239]':0.0392,'Berber {Chaouia} [i-shy][w-bch][a-2426][g-tach1249]':0.039,'Tashlhiyt [i-shi][w-tas][a-2421][g-tach1250]':0.0387,'Berber {Rif} [i-rif][w-brf][a-2369][g-tari1263]':0.0378,'Berber {Wargla} [i-oua][w-bou][a-2264][g-taga1278]':0.0386,'Berber {Mzab} [i-mzb][w-bmz][a-2123][g-tumz1238]':0.0391,'Berber {Ayt Seghrouchen Middle Atlas} [i-tzm][w-bma-bse][a-1435][g-cent2194]':0.0368,'Tuareg {Ghat} [i-thv][w-tai-tgh-tug][a-1421][g-taha1241]':0.0385,'Tuareg {Air} [i-thv][w-tai-tgh-tug][a-1420][g-taha1241]':0.0381,'Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]':0.0375,'Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]':0.0387,'Berber [i-berb][w-][a-431][g-berb1260]':0.0394,'Kabyle [i-kab][w-kbl][a-120][g-kaby1243]':0.0364)'Berber [i-][w-][a-][g-]':0.0347)'Group3 [i-][w-][a-][g-]':0.0347)'Group2 [i-][w-][a-][g-]':0.0347)'Group1 [i-][w-][a-][g-]':0.0347)'Berber [i-][w-][a-][g-]':1);
Chadic	SUCCESS	GA: converged after 2804 iterations out of 10000 with residual SSE error 0.00480977191760481	(((((('Masa [i-mcn][w-mas][a-1951][g-masa1322]':0.272,'Lame [i-lme][w-lam][a-1899][g-peve1243]':0.274)'Masa group [i-][w-][a-][g-]':0.0278)'Group3 [i-][w-][a-][g-]':0.0278)'Group2 [i-][w-][a-][g-]':0.0278)'Masa [i-][w-][a-][g-]':0.0278,('Tumak [i-tmc][w-tmk][a-2585][g-tuma1260]':0.199,'Mokilko [i-moz][w-mko][a-2062][g-muku1242]':0.207,'Migama [i-mmy][w-mig][a-2040][g-miga1249]':0.219,'Lele [i-lln][w-lel][a-1896][g-lele1276]':0.211,'Dangaleat {Western} [i-daa][w-dnw][a-1208][g-dang1274]':0.2,'Bidiya [i-bid][w-bid][a-1017][g-bidi1241]':0.206,'Kera [i-ker][w-ker][a-539][g-kera1255]':0.196)'East Chadic [i-][w-][a-][g-]':0.0625,('Moloko [i-mlw][w-][a-2943][g-molo1266]':0.143,'Uldeme [i-udl][w-uld][a-2658][g-wuzl1236]':0.126,'Hdi [i-xed][w-hdi][a-2638][g-hdii1240]':0.122,'Podoko [i-pbi][w-pod][a-2275][g-park1239]':0.126,'Mada {Cameroon} [i-mxu][w-mda][a-2112][g-mada1293]':0.137,'Musgu [i-mug][w-mgu][a-2094][g-musg1254]':0.119,'Mbara [i-mpk][w-mbr][a-2065][g-mbar1260]':0.124,'Mofu-Gudur [i-mif][w-mof][a-2004][g-mofu1248]':0.134,'Malgwa [i-mfi][w-mlg][a-1976][g-wand1278]':0.133,'Lagwan [i-kot][w-lag][a-1797][g-lagw1237]':0.146,'Kilba [i-hbb][w-klb][a-1758][g-huba1236]':0.14,'Lamang [i-hia][w-lmg][a-1605][g-lama1288]':0.121,'Giziga [i-gis][w-][a-1543][g-nort3047]':0.118,'Gidar [i-gid][w-gdr][a-1541][g-gida1247]':0.151,'Guduf [i-gdf][w-gdf][a-1529][g-gudu1252]':0.124,'Gude [i-gde][w-gud][a-1528][g-gude1246]':0.135,'Ga`anda [i-gqa][w-gnd][a-1513][g-gaan1243]':0.127,('Mina [i-hna][w-hna][a-2974][g-mina1276]':0.141,'Daba [i-dbq][w-dab][a-1209][g-nucl1683]':0.12)'Daba {a.k.a. Family A7} [i-][w-][a-][g-]':0.0582,'Bura-Pabir [i-bwr][w-bpa][a-1085][g-bura1292]':0.133,'Buduma [i-bdm][w-bud][a-989][g-budu1265]':0.142,'Bana [i-bcw][w-ban][a-981][g-bana1305]':0.135,'Kotoko [i-aal][w-ktk][a-819][g-afad1236]':0.138,'Margi [i-mrt][w-mrg][a-177][g-marg1265]':0.132,'Tera [i-ttr][w-ter][a-373][g-tera1251]':0.12)'Biu-Mandara {Central Chadic} [i-][w-][a-][g-]':0.114,('Kwami [i-ksq][w-kwm][a-1821][g-kwaa1269]':0.172,('Miya [i-mkf][w-miy][a-2023][g-miya1266]':0.186,(('Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':0.151,'Bade [i-bde][w-bad][a-984][g-bade1248]':0.151)'Bade [i-][w-][a-][g-]':0.0359)'Group3 [i-][w-][a-][g-]':0.0359,'Pa`a [i-pqa][w-paa][a-841][g-paaa1242]':0.167)'West - B {West Chadic} [i-][w-][a-][g-]':0.0475,((('Tangale [i-tan][w-tan][a-2516][g-nucl1696]':0.12,'Pero [i-pip][w-per][a-2297][g-pero1241]':0.106)'Tangale [i-][w-][a-][g-]':0.0554,('Ron [i-cla][w-ron][a-1159][g-ronn1241]':0.0785)'Ron [i-][w-][a-][g-]':0.0785,('Mupun [i-sur][w-mup][a-2498][g-mwag1236]':0.107,'Bole [i-bol][w-blq][a-1049][g-nucl1695]':0.125,'Goemai [i-ank][w-goe][a-896][g-goem1240]':0.114,'Angas [i-anc][w-anc][a-892][g-ngas1240]':0.115,'Kanakuru [i-kna][w-knk][a-121][g-dera1248]':0.0909)'Bole-Angas group [i-][w-][a-][g-]':0.0582,('Hausa [i-hau][w-hau][a-98][g-haus1257]':0.0782)'Hausa group [i-][w-][a-][g-]':0.0782)'Group3 [i-][w-][a-][g-]':0.0284)'West - A {West Chadic} [i-][w-][a-][g-]':0.0284)'West Chadic [i-][w-][a-][g-]':0.0874)'Chadic [i-][w-][a-][g-]':1);
Egyptian	SUCCESS	GA: converged after 104 iterations out of 10000 with residual SSE error 1.23592284194537e-16	(('Coptic [i-cop][w-cop][a-1172][g-copt1239]':0.184,'Egyptian {Ancient} [i-egy][w-][a-294][g-egyp1246]':0.145)'Egyptian [i-][w-][a-][g-]':1);
